Year,Project name,Summary,Skill,Link,Img file name,Others
2020,Plant ultivation record,"Use the arrow keys to control all the blocks on the board to move in the same direction. Each time you move, a new block will appear randomly. Merging two blocks with the same image will create the next stage of a plant. Successfully merging two ""wilted trees"" will complete the level. The game ends when there is no more available space on the board.",C#、SQL、Visual Studio,https://github.com/chizoehsieh/Planting_Trees,planting_trees.png,
2021,Be a Musician!,"In recent years, the market has been flooded with various rhythm music games, featuring unique gameplay modes and level systems that captivate many players. However, these games often do not impart any real knowledge of music theory or rhythm. With our app, we aim to provide players with the opportunity to learn more about music theory while enjoying the game. Additionally, members of bands and orchestras can use their spare time to practice less familiar sections, helping them make the most of their instrument practice time.",Android Java、Android Studio、Firebase、PreSonus Studio One 5,https://github.com/chizoehsieh/Be_a_Musician,Be_a_musician.png,
2021,Stock information inquiry system,"This system is built on the Django framework, using Python for the backend. It utilizes the twstock module to fetch real-time information about Taiwanese stocks and establishes an SQLite database to store historical data for the past year.

The frontend is developed using HTML, CSS, and JavaScript, allowing users to choose between querying real-time information or historical data on the homepage. Once a search is performed, the user is directed to the relevant page.",Python、HTML、CSS、Django,https://github.com/chizoehsieh/Stock_search,stock_search2.png,
2021,Wilderness survival,"A group of people happily set out on a cruise, but during their trip, they encountered a storm that capsized the ship. Due to the sudden nature of the incident, the passengers urgently boarded lifeboats and began to drift. Four individuals ended up on the same deserted island, embarking on a survival journey. The path to survival was fraught with challenges; each person had only three supplies left, with each supply lasting two days. Once they ran out of supplies, their movement would be limited to just 1-3 steps. Along the journey, they would face various events that could either increase or decrease their scores. Passing by a shop, they could use their scores to purchase supplies. The first person to find a helicopter could escape by boarding it. The individual with the highest score would receive premium supplies, providing them with more stamina to cope with unexpected situations in the future.",C#、Visual Studio,https://github.com/chizoehsieh/Survival,Survival.png,
2021,Adventure in Ilan,"Yilan is a county rich in traditional crafts and cultural practices, yet many visitors find it challenging to connect with these traditions. Therefore, we aim to use this game as a way for more people to engage with and learn about Yilan's traditional culture while having fun.",p5.js、processing,https://editor.p5js.org/chizoehsieh/full/7axCArNlo,anventure_in_ilan.png,
2021,A trial of multiple neural networks reflecting the results of COVID-19 CT image processing,"This study analyzes lung CT images to determine whether there is a COVID-19 infection. CT imaging can help assess whether a patient has viral pneumonia (COVID-19 is a type of viral pneumonia caused by the SARS-CoV-2 virus). However, CT cannot definitively identify whether the viral pneumonia is caused by SARS-CoV-2 or another virus.

Strictly speaking, CT cannot confirm a patient's COVID-19 infection. Nevertheless, during the pandemic, most cases of viral pneumonia have been attributed to SARS-CoV-2. This means that if a patient is diagnosed with viral pneumonia based on CT findings, it is highly likely that the pneumonia is due to COVID-19.

This study references ""Medical Image Processing and Deep Learning to Diagnose COVID-19 with CT Images.""",Python、Preprocessing、Feature detect、Deep Learning,https://github.com/chizoehsieh/CT_image_with_neural_network,ct_image.png,
2022,Home intestinal disease health check system,"Colorectal cancer incidence and mortality rates have been rising rapidly, ranking as the second highest in cancer occurrence and the third highest in cancer-related deaths. In its early stages, colorectal cancer often presents no symptoms, but regular screening can lead to early detection and treatment, resulting in a high cure rate. According to statistics, fecal occult blood tests are not affected by diet or medication, are easy to sample, but require a hospital visit and are covered by health insurance only for individuals aged 50 and older.

We believe that prevention should not be limited to hospital check-ups; ideally, individuals should have a general understanding of their health status in their daily lives. Therefore, we have developed a system that utilizes deep learning and image recognition, allowing users to analyze their intestinal health by taking photos of their stool with a mobile phone.",Flutter、Restful API、Mongo DB、Deep Learning、IR Spectrum,https://www.youtube.com/watch?v=lKP8vwg00AQ,Intestines_health.png,
2022,Smart Contract,"While applying for student loans is friendly to students from economically disadvantaged backgrounds, providing everyone with the opportunity to attend college, the requirement to visit the bank in person each semester can be cumbersome. Additionally, during the pandemic, we should minimize outings to reduce the risk of infection.

With the increasing prevalence of virtual cryptocurrencies and smart contracts, their immutable and transparent characteristics allow students to clearly see loan amounts and details. This ensures that they can trust their loan information. Therefore, we plan to implement a mechanism using smart contracts that enables students to apply for student loans without leaving home. This will also ensure that banks, schools, and students can clearly track the flow of funds and loan amounts.",solidity、remix IDE、Ropsten,https://github.com/chizoehsieh/Smart_Contract,,
2022,Garbage truck query system,"In Taiwan, taking out the trash is a regular part of daily life. Many of us often find ourselves rushing after the garbage truck because we're running out of time, or we arrive early to wait for it. These situations can be time-consuming and frustrating, diverting our attention from more important tasks.

To address this, we aim to develop an app that tracks and notifies users when the garbage truck is about to arrive. This app will display the routes of different garbage trucks, provide real-time locations and information, and allow users to select which routes to follow. Users will also be able to input their addresses, and the app will send proactive notifications when the garbage truck is approaching. This way, residents can spend less time and effort on taking out the trash.",Anroid Java、HTTP Request、Android Studio,https://www.youtube.com/watch?v=nE52WqWv3To,garbage_truck.png,
2022,Flower World,"When walking around campus or spending time outdoors, we often come across a wide variety of plants—but many of us don’t know their names or any interesting facts about them. While tools like Google Lens have become quite advanced, they still require an internet connection and often provide inconsistent or limited information.
This project aims to solve that problem by building a system that can help users identify and learn about campus plants without needing to be connected to the internet. With this tool, discovering the natural world around us becomes easier, more accessible, and more reliable—anytime, anywhere.",Python、Unity、Yolov5,https://github.com/chizoehsieh/Flower_World,flower_world.png,
2023,Ice Hockey,"This is a two-player competitive game where players control their joysticks to push a puck into the opponent's goal to score points. The first player to reach 5 points wins the game, experiencing the intense atmosphere of ice hockey. The game's visuals are simple, clear, and realistic, allowing players to immerse themselves in the experience and enjoy the fun it brings.",Processing、Arduino、p5.js,https://editor.p5js.org/chizoehsieh/full/ARZZ3X9zX,air_hockey.png,
2023,Instrument Explorer,"Most people rarely have the chance to see large or uncommon musical instruments in person. Even when they do, it’s often from a distance—without the opportunity to closely examine their structure, design, or simply hear what they sound like.

This project was created to change that. With a HoloLens device, users can explore these instruments up close, anytime and anywhere, regardless of physical space limitations. The experience allows for greater understanding and appreciation of these fascinating instruments. In the future, we hope this technology can even provide interactive, hands-on experiences—making it possible for anyone to connect with music in a more personal and immersive way.",Unity、HoloLens,https://youtu.be/PkhrIQ9s8pk ,instruments_secret.jpg,
2023,Snake,"This is a multiplayer Snake game that connects players via the internet. Players can join the same game by using a shared server link, allowing them to play together in real-time.",Java、Client-Server,https://github.com/chizoehsieh/Snake,snake.png,
2023,Race Car,"This project leverages reinforcement learning techniques to train a race car to compete on a designated track. The objective is to either cross the finish line in the shortest time or travel the longest distance within a given time limit.

The car's control system uses radar sensors to detect track boundaries and learns how to optimize steering, speed adjustment, and driving direction. Through continuous learning and improvement, the system enhances racing performance and decision-making efficiency in a dynamic environment.",Python、Reinforcement Learning,https://github.com/chizoehsieh/Racecar,racecar.png,
2024,Steam Video Games Recommendation,"Steam is one of the largest digital game distribution platforms in the world, offering thousands of games and serving hundreds of millions of players. With such a vast game library, accurately recommending games that players are genuinely interested in is a critical challenge.

As Steam users ourselves, we’ve noticed that its current recommendation system often suggests games that don’t truly match our interests. To address this, we developed a custom recommendation system using link prediction techniques, which analyze a user’s historical behavior to predict games they are more likely to enjoy—improving recommendation accuracy.

In addition, we applied community detection methods to identify players with similar purchasing behavior. This allows users to discover like-minded players and exchange game recommendations, ultimately boosting both game visibility and user engagement.",Python、Machine Learning,https://github.com/chizoehsieh/Steam_Video_Games_Recommendation,steam.jpg,
